,bikeid,mean_tripduration
1646,16606,679.1206896551724
453,15101,679.3444444444444
3192,18472,679.5402298850574
11811,31600,679.6575342465753
2973,18205,679.6688311688312
11353,31110,680.0546875
491,15155,680.1627906976744
13371,33406,680.7967914438502
414,15049,681.32
12038,32026,681.5984251968504
10987,30718,681.9320987654321
12465,32465,681.9347826086956
9938,29335,682.0449438202247
12939,32961,682.0689655172414
11707,31483,682.33125
1719,16700,682.3543307086615
11751,31529,682.5934065934066
12499,32499,683.0218340611353
5038,20867,683.2878787878788
11924,31848,683.4646464646464
10031,29429,683.609375
11307,31063,684.0802919708029
13325,33358,684.1086956521739
12731,32740,684.1666666666666
11802,31589,684.2134831460675
11727,31505,684.2277227722773
11571,31338,684.364161849711
4307,19832,684.7956989247311
4137,19620,684.8375
13025,33050,685.2948717948718
8140,27413,685.3095238095239
11956,31923,685.4102564102565
4222,19731,685.433962264151
6765,25813,685.5393700787401
12699,32706,685.75935828877
1188,16032,685.9423076923077
11363,31120,686.1012658227849
445,15090,686.4871794871794
4627,20225,686.5111111111111
12320,32318,686.6470588235294
4091,19564,686.8
1196,16043,686.9826086956522
10250,29925,686.9830508474577
8271,27547,687.1811846689895
11947,31898,687.2987012987013
11558,31324,687.3412698412699
8490,27766,687.3489583333334
5946,24969,687.5954545454546
2586,17739,687.6637168141593
10696,30412,687.7395833333334
12829,32849,688.3544303797469
308,14921,688.4585987261147
7589,26824,688.974358974359
10742,30460,689.121546961326
2132,17196,689.5611111111111
11852,31643,689.7119565217391
12297,32294,689.8333333333334
10502,30196,689.8897058823529
11652,31425,689.8926829268293
10746,30464,689.9090909090909
3653,19029,690.0
10952,30683,690.0822784810126
12862,32883,690.1258741258741
10313,29990,690.3505154639175
11990,31977,691.1118881118881
10139,29778,691.4938271604939
10649,30358,691.4957264957264
12249,32244,691.5354838709677
7105,26280,691.5625
10586,30284,691.5784313725491
668,15378,691.8151260504202
213,14795,691.896
13213,33243,691.927374301676
13134,33161,692.3607594936709
12865,32886,692.5151515151515
3041,18287,692.5217391304348
12438,32437,692.54
13267,33299,692.6947368421053
3680,19065,692.7701863354038
12407,32405,692.8609625668449
12087,32075,692.905
57,14596,693.1826923076923
13043,33069,693.2128514056225
12945,32967,693.2680412371134
12582,32587,693.4310344827586
4304,19829,693.468085106383
1073,15888,693.5506329113924
11732,31510,693.5704225352113
12339,32337,693.5733333333334
140,14698,693.6694214876034
13355,33390,693.8275862068965
5438,21337,693.929203539823
5774,24760,693.991935483871
7888,27129,694.1675675675675
3131,18390,694.2105263157895
12187,32179,694.4416666666667
11458,31220,694.8219178082192
1833,16833,694.944099378882
13298,33331,694.9577464788732
10723,30439,694.9793103448276
1732,16714,695.49
3718,19105,695.5265486725664
4487,20068,695.5297297297298
13107,33134,695.5978260869565
12161,32153,695.6026490066225
1510,16444,695.6569579288026
12180,32172,695.7582417582418
12922,32943,696.1374045801526
8008,27249,696.1646341463414
5556,21470,696.2380952380952
3454,18784,696.6904761904761
10909,30638,696.693023255814
3639,19013,696.7184466019418
2685,17865,696.72
11995,31982,696.7814569536424
11414,31176,696.9175257731958
5382,21275,696.9470899470899
11348,31104,696.9823529411765
7054,26112,697.1151832460733
5856,24872,697.1219512195122
11253,31000,697.448275862069
12390,32388,697.4851485148515
12454,32453,697.5126050420168
3493,18831,697.5269461077844
12838,32858,697.5281690140845
3471,18803,697.7875
2552,17697,697.8556701030927
4792,20547,697.8991596638656
10389,30071,697.912
5481,21385,698.4
12799,32817,698.5373134328358
12239,32234,698.5563909774436
5112,20963,698.5925925925926
5471,21372,698.6212121212121
11765,31543,698.6233766233767
4886,20684,698.6256983240223
10041,29557,698.6880733944954
12561,32564,698.6953642384105
2165,17237,698.8598130841121
4749,20374,698.9
13370,33405,698.9025974025974
3364,18680,698.90756302521
10498,30191,698.96
5391,21286,699.0235849056604
10054,29624,699.0285714285715
3853,19283,699.1125
12603,32608,699.1194029850747
8606,27882,699.1515151515151
12847,32867,699.17
8010,27251,699.1737451737451
4938,20749,699.1811023622047
2041,17084,699.1875
6239,25273,699.552
5458,21358,699.6666666666666
10699,30415,699.9013452914799
12202,32195,699.9208633093525
2661,17832,700.0092592592592
9409,28691,700.1197916666666
12730,32739,700.1386861313869
3193,18473,700.14
6875,25925,700.193641618497
11910,31809,700.3854166666666
13303,33336,700.3959731543624
12137,32128,700.420814479638
12718,32727,700.5889570552147
10094,29724,700.6107382550335
1894,16900,700.6186046511627
4036,19500,700.64
4274,19795,700.8818897637796
11045,30778,700.9038461538462
